Fleet,Length,Sel
12,46.5,2.34666e-09
13,46.5,2.33816e-09
14,46.5,2.46712e-09
15,46.5,2.34666e-09
16,46.5,2.33971e-09
17,46.5,5.04852e-07
18,46.5,0.000956451
19,46.5,2.37889e-09
20,46.5,2.36787e-09
1,47.5,7.77843e-08
2,47.5,2.34864e-09
3,47.5,2.34003e-09
4,47.5,2.50968e-09
5,47.5,2.50968e-09
6,47.5,2.37017e-09
7,47.5,2.35125e-09
8,47.5,2.35125e-09
9,47.5,2.34525e-09
10,47.5,2.32759e-11
11,47.5,7.77843e-08
12,47.5,2.34864e-09
13,47.5,2.34003e-09
14,47.5,2.50968e-09
15,47.5,2.34864e-09
16,47.5,2.34163e-09
17,47.5,6.13635e-07
18,47.5,0.00103602
19,47.5,2.38136e-09
20,47.5,2.37017e-09
1,48.5,9.8545e-08
2,48.5,2.35066e-09
3,48.5,2.34193e-09
4,48.5,2.56627e-09
5,48.5,2.56627e-09
6,48.5,2.3725e-09
7,48.5,2.35331e-09
8,48.5,2.35331e-09
9,48.5,2.34722e-09
10,48.5,2.71894e-11
11,48.5,9.8545e-08
12,48.5,2.35066e-09
13,48.5,2.34193e-09
14,48.5,2.56627e-09
15,48.5,2.35066e-09
16,48.5,2.34358e-09
17,48.5,7.44978e-07
18,48.5,0.0011217
19,48.5,2.38386e-09
20,48.5,2.3725e-09
1,49.5,1.24798e-07
2,49.5,2.3527e-09
3,49.5,2.34385e-09
4,49.5,2.64156e-09
5,49.5,2.64156e-09
6,49.5,2.37486e-09
7,49.5,2.35539e-09
8,49.5,2.35539e-09
9,49.5,2.34921e-09
10,49.5,3.1761e-11
11,49.5,1.24798e-07
12,49.5,2.3527e-09
13,49.5,2.34385e-09
14,49.5,2.64156e-09
15,49.5,2.3527e-09
16,49.5,2.34557e-09
17,49.5,9.03338e-07
18,49.5,0.0012139
19,49.5,2.3864e-09
20,49.5,2.37486e-09
1,50.5,1.57935e-07
2,50.5,2.35478e-09
3,50.5,2.3458e-09
4,50.5,2.74177e-09
5,50.5,2.74177e-09
6,50.5,2.37726e-09
7,50.5,2.3575e-09
8,50.5,2.3575e-09
9,50.5,2.35124e-09
10,50.5,3.71012e-11
11,50.5,1.57935e-07
12,50.5,2.35478e-09
13,50.5,2.3458e-09
14,50.5,2.74177e-09
15,50.5,2.35478e-09
16,50.5,2.34761e-09
17,50.5,1.09401e-06
18,50.5,0.00131307
19,50.5,2.38898e-09
20,50.5,2.37726e-09
1,51.5,1.99683e-07
2,51.5,2.35688e-09
3,51.5,2.34778e-09
4,51.5,2.87508e-09
5,51.5,2.87508e-09
6,51.5,2.3797e-09
7,51.5,2.35964e-09
8,51.5,2.35964e-09
9,51.5,2.35329e-09
10,51.5,4.33393e-11
11,51.5,1.99683e-07
12,51.5,2.35688e-09
13,51.5,2.34778e-09
14,51.5,2.87508e-09
15,51.5,2.35688e-09
16,51.5,2.34971e-09
17,51.5,1.32328e-06
18,51.5,0.00141968
19,51.5,2.39161e-09
20,51.5,2.3797e-09
1,52.5,2.52181e-07
2,52.5,2.35902e-09
3,52.5,2.34978e-09
4,52.5,3.05228e-09
5,52.5,3.05228e-09
6,52.5,2.38218e-09
7,52.5,2.36182e-09
8,52.5,2.36182e-09
9,52.5,2.35537e-09
10,52.5,5.06263e-11
11,52.5,2.52181e-07
12,52.5,2.35902e-09
13,52.5,2.34978e-09
14,52.5,3.05228e-09
15,52.5,2.35902e-09
16,52.5,2.35189e-09
17,52.5,1.59856e-06
18,52.5,0.00153425
19,52.5,2.39427e-09
20,52.5,2.38218e-09
1,53.5,3.18073e-07
2,53.5,2.36118e-09
3,53.5,2.35181e-09
4,53.5,3.28755e-09
5,53.5,3.28755e-09
6,53.5,2.38469e-09
7,53.5,2.36402e-09
8,53.5,2.36402e-09
9,53.5,2.35748e-09
10,53.5,5.91385e-11
11,53.5,3.18073e-07
12,53.5,2.36118e-09
13,53.5,2.35181e-09
14,53.5,3.28755e-09
15,53.5,2.36118e-09
16,53.5,2.35416e-09
17,53.5,1.92864e-06
18,53.5,0.00165729
19,53.5,2.39698e-09
20,53.5,2.38469e-09
1,54.5,4.00622e-07
2,54.5,2.36338e-09
3,54.5,2.35387e-09
4,54.5,3.59951e-09
5,54.5,3.59951e-09
6,54.5,2.38725e-09
7,54.5,2.36626e-09
8,54.5,2.36626e-09
9,54.5,2.35962e-09
10,54.5,6.90819e-11
11,54.5,4.00622e-07
12,54.5,2.36338e-09
13,54.5,2.35387e-09
14,54.5,3.59951e-09
15,54.5,2.36338e-09
16,54.5,2.35656e-09
17,54.5,2.32389e-06
18,54.5,0.00178938
19,54.5,2.39973e-09
20,54.5,2.38725e-09
